title,ingredients,directions,formatted_ingredients,formatted_ingredient_list,formatted_directions
Chicken Stew,"[""3 lb. chicken, boiled"", ""4 medium potatoes, diced"", ""2 medium onions, chopped"", ""1 (16 oz.) can creamed corn"", ""1 (16 oz.) can English peas"", ""1 (16 oz.) can field peas"", ""1 (16 oz.) can butter beans"", ""1 (16 oz.) can tomatoes"", ""1 (46 oz.) can tomato juice"", ""1 small box macaroni"", ""1 Tbsp. black pepper"", ""1 Tbsp. salt"", ""1 Tbsp. sugar""]","[""Remove chicken from bone."", ""Use the broth."", ""Mix the vegetables and macaroni."", ""Add sugar, salt and black pepper."", ""Cook until all vegetables are tender over medium heat.""]","chicken = Ingredient('chkn', 'chicken', 1361, over='too greasy', under='too scant')
potatoes = Ingredient('pota', 'potatoes', 600, over='too starchy', under='too few')
onions = Ingredient('onio', 'onions', 220, over='too pungent', under='too mild')
creamedcorn = Ingredient('ccor', 'creamed corn', 454, over='too sweet', under='too plain')
englishpeas = Ingredient('enpe', 'English peas', 454, over='too mushy', under='too sparse')
fieldpeas = Ingredient('fdpe', 'field peas', 454, over='too earthy', under='too scarce')
butterbeans = Ingredient('btbn', 'butter beans', 454, over='too mealy', under='too scarce')
tomatoes = Ingredient('toma', 'tomatoes', 454, over='too acidic', under='too bland')
tomatojuice = Ingredient('tomj', 'tomato juice', 1304, over='too watery', under='too weak')
macaroni = Ingredient('maco', 'macaroni', 227, over='too pasty', under='too little')
blackpepper = Ingredient('bpep', 'black pepper', 7, over='too spicy', under='too bland')
salt = Ingredient('salt', 'salt', 18, over='too salty', under='too bland')
sugar = Ingredient('sugr', 'sugar', 13, over='too sweet', under='too bland')
","ingredients = [chicken, potatoes, onions, creamedcorn, englishpeas, fieldpeas, butterbeans, tomatoes, tomatojuice, macaroni, blackpepper, salt, sugar]","t1 = Transformation('mix', 'Remove chicken from bone.', [chicken], 'chicken_bones')
t2 = Transformation('boil', 'Use the broth.', [t1.execute()], 'broth')
t3 = Transformation('mix', 'Mix the vegetables and macaroni.', [potatoes, onions, creamedcorn, englishpeas, fieldpeas, butterbeans, tomatoes, macaroni], 'veg_mac_mix')
t4 = Transformation('stir', 'Add sugar, salt and black pepper.', [t3.execute(), sugar, salt, blackpepper], 'seasoned_mix')
t5 = Transformation('boil', 'Cook until all vegetables are tender over medium heat.', [t2.execute(), t4.execute()], 'tender_vegetable_stew')"
Pear-Lime Salad,"[""1 (16 oz.) can pear halves, undrained"", ""1 (3 oz.) pkg. lime gelatin"", ""1 (8 oz.) pkg. cream cheese, softened"", ""1 (8 oz.) carton lemon yogurt""]","[""Drain pears, reserving juice."", ""Bring juice to a boil, stirring constantly."", ""Remove from heat."", ""Add gelatin, stirring until dissolved."", ""Let cool slightly."", ""Coarsely chop pear halves. Combine cream cheese and yogurt; beat at medium speed of electric mixer until smooth."", ""Add gelatin and beat well."", ""Stir in pears."", ""Pour into an oiled 4-cup mold or Pyrex dish."", ""Chill.""]","pears = Ingredient('p001', 'pear halves, undrained', 454, over='too soggy', under='too bland')
gelatin = Ingredient('g001', 'lime gelatin', 85, over='too firm', under='too runny')
creamcheese = Ingredient('c001', 'cream cheese, softened', 227, over='too rich', under='too thin')
lemonyogurt = Ingredient('y001', 'lemon yogurt', 227, over='too sour', under='too bland')
","ingredients = [pears, gelatin, creamcheese, lemonyogurt]","t1 = Transformation('stir', 'Drain pears, reserving juice.', [pears], 'pear_juice')
t2 = Transformation('boil', 'Bring juice to a boil, stirring constantly.', [t1.execute()], 'boiled_juice')
t3 = Transformation('stir', 'Remove from heat.', [t2.execute()], 'offheat_juice')
t4 = Transformation('stir', 'Add gelatin, stirring until dissolved.', [t3.execute(), gelatin], 'gelatin_solution')
t5 = Transformation('chill', 'Let cool slightly.', [t4.execute()], 'cooled_gelatin_solution')
t6 = Transformation('mix', 'Combine cream cheese and yogurt; beat at medium speed of electric mixer until smooth.', [creamcheese, lemonyogurt], 'smooth_cream_yogurt')
t7 = Transformation('stir', 'Add gelatin and beat well.', [t6.execute(), t5.execute()], 'cream_yogurt_gelatin_mix')
t8 = Transformation('stir', 'Stir in pears.', [t7.execute(), pears], 'pear_mixture')
t9 = Transformation('mix', 'Pour into an oiled 4-cup mold or Pyrex dish.', [t8.execute()], 'poured_mixture')
t10 = Transformation('chill', 'Chill.', [t9.execute()], 'chilled_dessert')"
Easy Fudge,"[""1 (14 oz.) can sweetened condensed milk"", ""1 (12 oz.) pkg. semi-sweet chocolate chips"", ""1 (1 oz.) sq. unsweetened chocolate (if desired)"", ""1 1/2 c. chopped nuts (if desired)"", ""1 tsp. vanilla""]","[""Butter a square pan, 8 x 8 x 2-inches."", ""Heat milk, chocolate chips and unsweetened chocolate over low heat, stirring constantly, until chocolate is melted and mixture is smooth. Remove from heat."", ""Stir in nuts and vanilla."", ""Spread in pan.""]","condensed_milk = Ingredient('SCM1', 'sweetened condensed milk', 397, over='too sweet', under='too dry')
chocolate_chips = Ingredient('CHP1', 'semi-sweet chocolate chips', 340, over='too rich', under='too bland')
unsweetened_chocolate = Ingredient('USCH', 'unsweetened chocolate', 28, over='too bitter', under='too weak')
chopped_nuts = Ingredient('NUT1', 'chopped nuts', 180, over='too oily', under='too sparse')
vanilla = Ingredient('VAN1', 'vanilla', 5, over='too strong', under='too faint')

","ingredients = [condensed_milk, chocolate_chips, unsweetened_chocolate, chopped_nuts, vanilla]","t1 = Transformation('mix', 'Butter a square pan, 8 x 8 x 2-inches.', [], 'buttered_pan')
t2 = Transformation('stir', 'Heat milk, chocolate chips and unsweetened chocolate over low heat, stirring constantly, until chocolate is melted and mixture is smooth. Remove from heat.', [condensed_milk, chocolate_chips, unsweetened_chocolate], 'melted_chocolate_mixture')
t3 = Transformation('stir', 'Stir in nuts and vanilla.', [t2.execute(), chopped_nuts, vanilla], 'fudge_mixture')
t4 = Transformation('mix', 'Spread in pan.', [t3.execute(), t1.execute()], 'pan_fudge')"
Double Cherry Delight,"[""1 (17 oz.) can dark sweet pitted cherries"", ""1/2 c. ginger ale"", ""1 (6 oz.) pkg. Jell-O cherry flavor gelatin"", ""2 c. boiling water"", ""1/8 tsp. almond extract"", ""1 c. miniature marshmallows""]","[""Drain cherries, measuring syrup."", ""Cut cherries in half."", ""Add ginger ale and enough water to syrup to make 1 1/2 cups."", ""Dissolve gelatin in boiling water."", ""Add measured liquid and almond extract. Chill until very thick."", ""Fold in marshmallows and the cherries. Spoon into 6-cup mold."", ""Chill until firm, at least 4 hours or overnight."", ""Unmold."", ""Makes about 5 1/3 cups.""]","cherries = Ingredient('CHER', 'dark sweet pitted cherries', 482, over='too sweet', under='too scarce')
gingerale = Ingredient('GING', 'ginger ale', 120, over='too fizzy', under='too flat')
jello = Ingredient('JELL', 'Jell-O cherry flavor gelatin', 170, over='too rubbery', under='too weak')
water = Ingredient('WATR', 'boiling water', 480, over='too dilute', under='too dry')
almond = Ingredient('ALMD', 'almond extract', 1, over='too strong', under='too bland')
marshmallows = Ingredient('MARS', 'miniature marshmallows', 50, over='too cloying', under='too sparse')

","ingredients = [cherries, gingerale, jello, water, almond, marshmallows]","t1 = Transformation('mix', 'Drain cherries, measuring syrup.', [cherries], 'cherry_syrup')
t2 = Transformation('mix', 'Cut cherries in half.', [cherries], 'halved_cherries')
t3 = Transformation('mix', 'Add ginger ale and enough water to syrup to make 1 1/2 cups.', [gingerale, water, t1.execute()], 'measured_liquid')
t4 = Transformation('boil', 'Dissolve gelatin in boiling water.', [jello, water], 'gelatin_solution')
t5 = Transformation('chill', 'Add measured liquid and almond extract. Chill until very thick.', [t4.execute(), t3.execute(), almond], 'thickened_mixture')
t6 = Transformation('mix', 'Fold in marshmallows and the cherries. Spoon into 6-cup mold.', [t5.execute(), marshmallows, t2.execute()], 'molded_mixture')
t7 = Transformation('chill', 'Chill until firm, at least 4 hours or overnight.', [t6.execute()], 'firm_mold')
t8 = Transformation('mix', 'Unmold.', [t7.execute()], 'unmolded_dessert')
t9 = Transformation('mix', 'Makes about 5 1/3 cups.', [t8.execute()], 'final_dessert')"
Broccoli Salad,"[""1 large head broccoli (about 1 1/2 lb.)"", ""10 slices bacon, cooked and crumbled"", ""5 green onions, sliced or 1/4 c. chopped red onion"", ""1/2 c. raisins"", ""1 c. mayonnaise"", ""2 Tbsp. vinegar"", ""1/4 c. sugar""]","[""Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings.""]","broccoli = Ingredient('broc', 'broccoli', 680, over='too bitter', under='too scant')
bacon = Ingredient('bacn', 'bacon', 100, over='too salty', under='too bland')
onions = Ingredient('onio', 'green onions', 75, over='too pungent', under='too mild')
raisins = Ingredient('rais', 'raisins', 83, over='too sweet', under='too sparse')
mayonnaise = Ingredient('mayo', 'mayonnaise', 230, over='too greasy', under='too dry')
vinegar = Ingredient('vine', 'vinegar', 30, over='too sour', under='too flat')
sugar = Ingredient('sugr', 'sugar', 50, over='too cloying', under='too insipid')

","ingredients = [broccoli, bacon, onions, raisins, mayonnaise, vinegar, sugar]","t1 = Transformation('mix', 'Place broccoli in a large bowl and add bacon, onions, and raisins.', [broccoli, bacon, onions, raisins], 'broccoli_mixture')
t2 = Transformation('stir', 'Combine mayonnaise, vinegar, and sugar, stirring well to make dressing.', [mayonnaise, vinegar, sugar], 'dressing')
t3 = Transformation('mix', 'Add dressing to broccoli mixture and toss gently.', [t1.execute(), t2.execute()], 'broccoli_salad')
t4 = Transformation('chill', 'Cover and refrigerate 2 to 3 hours.', [t3.execute()], 'chilled_broccoli_salad')"
Scalloped Corn,"[""1 can cream-style corn"", ""1 can whole kernel corn"", ""1/2 pkg. (approximately 20) saltine crackers, crushed"", ""1 egg, beaten"", ""6 tsp. butter, divided"", ""pepper to taste""]","[""Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish."", ""Dot with remaining 4 teaspoons of butter."", ""Bake at 350\u00b0 for 1 hour.""]","creamcorn = Ingredient('CR01', 'cream-style corn', 425, over='too sweet', under='too bland')
wholecorn = Ingredient('WH02', 'whole kernel corn', 425, over='too crunchy', under='too few')
saltines = Ingredient('ST03', 'saltine crackers, crushed', 60, over='too salty', under='too thin')
egg = Ingredient('EGG1', 'egg, beaten', 50, over='too eggy', under='too dry')
butter = Ingredient('BTR1', 'butter, divided', 28, over='too greasy', under='too scant')
pepper = Ingredient('PEP1', 'pepper', 1, over='too spicy', under='too bland')

","ingredients = [creamcorn, wholecorn, saltines, egg, butter, pepper]","t1 = Transformation('mix', 'Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper; place in a buttered baking dish.', [creamcorn, wholecorn, saltines, egg, butter, pepper], 'corn_casserole_base')
t2 = Transformation('stir', 'Dot with remaining 4 teaspoons of butter.', [t1.execute(), butter], 'buttered_corn_casserole_base')
t3 = Transformation('bake', 'Bake at 350° for 1 hour.', [t2.execute()], 'baked_corn_casserole')"
Quick Barbecue Wings,"[""chicken wings (as many as you need for dinner)"", ""flour"", ""barbecue sauce (your choice)""]","[""Clean wings."", ""Flour and fry until done."", ""Place fried chicken wings in microwave bowl."", ""Stir in barbecue sauce."", ""Microwave on High (stir once) for 4 minutes.""]","chickenwings = Ingredient('CWNG', 'chicken wings', 1000, over='too greasy', under='too few')
flour = Ingredient('FLUR', 'flour', 200, over='too gummy', under='too light')
barbecuesauce = Ingredient('BBQS', 'barbecue sauce', 150, over='too sweet', under='too bland')
","ingredients = [chickenwings, flour, barbecuesauce]","t1 = Transformation('mix', 'Clean wings.', [chickenwings], 'cleaned_chickenwings')
t2 = Transformation('mix', 'Coat wings with flour.', [t1.execute(), flour], 'floured_chickenwings')
t3 = Transformation('fry', 'Fry until done.', [t2.execute()], 'fried_chickenwings')
t4 = Transformation('mix', 'Place fried chicken wings in microwave bowl.', [t3.execute()], 'bowl_of_fried_chickenwings')
t5 = Transformation('stir', 'Stir in barbecue sauce.', [t4.execute(), barbecuesauce], 'sauced_fried_chickenwings')
t6 = Transformation('bake', 'Microwave on High for 2 minutes.', [t5.execute()], 'partially_microwaved_sauced_wings')
t7 = Transformation('stir', 'Stir once.', [t6.execute()], 'stirred_microwaved_sauced_wings')
t8 = Transformation('bake', 'Microwave on High for 2 more minutes.', [t7.execute()], 'microwaved_sauced_wings')"
Corral Barbecued Beef Steak Strips,"[""2 lb. round steak 1/2 to 3/4-inch thick, sliced in strips 1/8-inch thick (or thinner) and 3 1/2 to 4-inches long (easily sliced if partially frozen)"", ""2 Tbsp. cooking oil"", ""1 can (15 oz.) tomato sauce"", ""1/3 c. water"", ""2 Tbsp. brown sugar"", ""1 Tbsp. prepared mustard"", ""1 tbsp. Worcestershire sauce"", ""1 medium sized onion, thinly sliced""]","[""Brown strips in cooking oil."", ""Pour off drippings."", ""Combine tomato sauce, water, brown sugar, mustard and Worcestershire sauce."", ""Add sauce and onion to meat slices."", ""Cover and cook slowly, stirring occasionally 30 minutes or until meat is tender. Serve over rice or buttered noodles."", ""Yields 6 to 8 servings.""]","steak = Ingredient('stk1', 'round steak', 907, over='too tough', under='too scant')
oil = Ingredient('oil1', 'cooking oil', 27, over='too greasy', under='too dry')
tomato_sauce = Ingredient('tsau', 'tomato sauce', 425, over='too watery', under='too bland')
water = Ingredient('watr', 'water', 80, over='too diluted', under='too dry')
brown_sugar = Ingredient('brsu', 'brown sugar', 28, over='too sweet', under='too bland')
mustard = Ingredient('mstd', 'prepared mustard', 15, over='too pungent', under='too bland')
worcestershire = Ingredient('worc', 'Worcestershire sauce', 15, over='too salty', under='too bland')
onion = Ingredient('onio', 'onion', 110, over='too pungent', under='too scant')
","ingredients = [steak, oil, tomato_sauce, water, brown_sugar, mustard, worcestershire, onion]","t1 = Transformation('fry', 'Brown strips in cooking oil.', [steak, oil], 'browned_meat')
t2 = Transformation('stir', 'Pour off drippings.', [t1.execute()], 'drained_meat')
t3 = Transformation('mix', 'Combine tomato sauce, water, brown sugar, mustard and Worcestershire sauce.', [tomato_sauce, water, brown_sugar, mustard, worcestershire], 'sauce_mixture')
t4 = Transformation('mix', 'Add sauce and onion to meat slices.', [t2.execute(), onion, t3.execute()], 'meat_with_sauce')
t5 = Transformation('boil', 'Cover and cook slowly, stirring occasionally 30 minutes or until meat is tender.', [t4.execute()], 'tender_meat')"
No-Bake Nut Cookies,"[""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]","[""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]","brownsugar = Ingredient('BRSU', 'firmly packed brown sugar', 220, over='too sweet', under='too bland')
evaporatedmilk = Ingredient('EVML', 'evaporated milk', 120, over='too milky', under='too dry')
vanilla = Ingredient('VANI', 'vanilla', 2, over='too strong', under='too weak')
pecans = Ingredient('PECN', 'broken nuts (pecans)', 50, over='too nutty', under='too sparse')
butter = Ingredient('BUTR', 'butter or margarine', 28, over='too greasy', under='too dry')
ricebiscuits = Ingredient('RBIS', 'bite size shredded rice biscuits', 32, over='too crunchy', under='too soggy')

","ingredients = [brownsugar, evaporatedmilk, vanilla, pecans, butter, ricebiscuits]","t1 = Transformation('mix', 'In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine.', [brownsugar, pecans, evaporatedmilk, butter], 'saucepan_mixture')
t2 = Transformation('stir', 'Stir over medium heat until mixture bubbles all over top.', [t1.execute()], 'bubbling_mixture')
t3 = Transformation('boil', 'Boil and stir 5 minutes more. Take off heat.', [t2.execute()], 'boiled_mixture')
t4 = Transformation('mix', 'Stir in vanilla and cereal; mix well.', [t3.execute(), vanilla, ricebiscuits], 'well_mixed_cereal_mixture')
t5 = Transformation('mix', 'Using 2 teaspoons, drop and shape into 30 clusters on wax paper.', [t4.execute()], 'shaped_clusters')
t6 = Transformation('chill', 'Let stand until firm, about 30 minutes.', [t5.execute()], 'firm_clusters')"
Chocolate Mint Bars,"[""1 c. flour"", ""1 c. sugar"", ""1/2 c. oleo, softened"", ""4 eggs"", ""1 can chocolate syrup""]","[""Mix together and bake in 9 x 13-inch pan at 350\u00b0 for 25 to 30 minutes."", ""Top should spring back when touched lightly; do not overbake."", ""Cool completely, then spread with mint layer.""]","flour = Ingredient('flr1', 'flour', 120, over='too tough', under='too runny')
sugar = Ingredient('sgr1', 'sugar', 200, over='too sweet', under='too bland')
oleo = Ingredient('oleo', 'oleo', 113, over='too greasy', under='too dry')
eggs = Ingredient('egg1', 'eggs', 200, over='too rubbery', under='too flat')
syrup = Ingredient('csyr', 'chocolate syrup', 400, over='too cloying', under='too weak')
","ingredients = [flour, sugar, oleo, eggs, syrup]","t1 = Transformation('mix', 'Mix together all ingredients.', [flour, sugar, oleo, eggs, syrup], 'batter')
t2 = Transformation('bake', 'Bake in a 9 x 13-inch pan at 350° for 25 to 30 minutes until the top springs back when touched lightly; do not overbake.', [t1.execute()], 'baked_cake')
t3 = Transformation('chill', 'Cool completely.', [t2.execute()], 'cooled_cake')"
Smothered Round Steak(Servings: 4)  ,"[""2 lb. round steak"", ""1/2 tsp. ground black pepper"", ""1 tsp. ground white pepper"", ""1/2 c. vegetable oil"", ""2 bell peppers, chopped"", ""1 c. beef stock or water"", ""2 tsp. salt"", ""1 tsp. ground red pepper"", ""all-purpose flour (dredging)"", ""3 medium onions, chopped"", ""1 celery rib, chopped""]","[""Alex Patout says, \""Smothering is a multipurpose Cajun technique that works wonders with everything from game to snap beans."", ""It's similar to what the rest of the world knows as braising."", ""The ingredients are briefly browned or sauteed, then cooked with a little liquid over a low heat for a long time.\""""]","roundsteak = Ingredient('rdst', 'round steak', 907, over='too tough', under='too rare')
blackpepper = Ingredient('bkpp', 'ground black pepper', 1, over='too peppery', under='too bland')
whitepepper = Ingredient('wtpp', 'ground white pepper', 2, over='too pungent', under='too bland')
vegetableoil = Ingredient('vgoi', 'vegetable oil', 109, over='too greasy', under='too dry')
bellpeppers = Ingredient('blpr', 'bell peppers, chopped', 320, over='too bitter', under='too bland')
beefstock = Ingredient('bfst', 'beef stock or water', 240, over='too salty', under='too weak')
salt = Ingredient('slt0', 'salt', 12, over='too salty', under='too bland')
redpepper = Ingredient('rdpr', 'ground red pepper', 2, over='too spicy', under='too mild')
flour = Ingredient('flr0', 'all-purpose flour (dredging)', 60, over='too gummy', under='too scant')
onions = Ingredient('onns', 'onions, chopped', 450, over='too oniony', under='too subtle')
celery = Ingredient('cely', 'celery rib, chopped', 40, over='too vegetal', under='too bland')

","ingredients = [roundsteak, blackpepper, whitepepper, vegetableoil, bellpeppers, beefstock, salt, redpepper, flour, onions, celery]","t1 = Transformation('fry', 'Briefly brown or saute the roundsteak with onions, bellpeppers, and celery in vegetableoil.', [roundsteak, onions, bellpeppers, celery, vegetableoil], 'browned_base')
t2 = Transformation('boil', 'Cook the browned mixture with a little beefstock over low heat for a long time.', [t1.execute(), beefstock], 'smothered_roundsteak')"
Pink Stuff(Frozen Dessert)  ,"[""1 can pie filling (cherry or strawberry)"", ""1 can crushed pineapple, drained"", ""1 can sweetened condensed milk"", ""1 (8 oz.) container thawed whipped topping"", ""2 Tbsp. lemon juice""]","[""Mix all ingredients together."", ""Pour into a 9 x 13-inch pan. Freeze until firm."", ""Allow to set out approximately 15 minutes before serving.""]","piefilling = Ingredient('pf01', 'pie filling (cherry or strawberry)', 595, over='too sweet', under='too bland')
crushedpineapple = Ingredient('cp01', 'crushed pineapple, drained', 565, over='too soggy', under='too dry')
condensedmilk = Ingredient('scm1', 'sweetened condensed milk', 397, over='too sweet', under='too bland')
whippedtopping = Ingredient('whtp', 'thawed whipped topping', 227, over='too fluffy', under='too dense')
lemonjuice = Ingredient('lj01', 'lemon juice', 30, over='too sour', under='too flat')

","ingredients = [piefilling, crushedpineapple, condensedmilk, whippedtopping, lemonjuice]","t1 = Transformation('mix', 'Mix all ingredients together.', [piefilling, crushedpineapple, condensedmilk, whippedtopping, lemonjuice], 'combined_mixture')
t2 = Transformation('chill', 'Pour into a 9 x 13-inch pan and freeze until firm.', [t1.execute()], 'frozen_pie')
t3 = Transformation('chill', 'Allow to set out approximately 15 minutes before serving.', [t2.execute()], 'tempered_pie')"
Strawberry Whatever,"[""1 lb. frozen strawberries in juice"", ""1 small can crushed pineapple"", ""3 ripe bananas"", ""1 c. chopped pecans"", ""1 large pkg. strawberry Jell-O"", ""1 1/2 c. boiling water"", ""1 pt. sour cream""]","[""Mix Jell-O in boiling water."", ""Add strawberries, pineapple, crushed bananas and nuts."", ""Spread 1/2 mixture in 13 x 6 1/2-inch pan."", ""Allow to gel in freezer 30 minutes."", ""Add layer of sour cream, then remaining mixture on top."", ""Gel and serve.""]","strawberries = Ingredient('st01', 'frozen strawberries in juice', 454, over='too sweet', under='too tart')
pineapple = Ingredient('pina', 'crushed pineapple', 227, over='too tart', under='too bland')
bananas = Ingredient('bana', 'ripe bananas', 354, over='too mushy', under='too unripe')
pecans = Ingredient('pecs', 'chopped pecans', 100, over='too oily', under='too few')
jello = Ingredient('jell', 'strawberry Jell-O', 170, over='too gelatinous', under='too weak')
water = Ingredient('watr', 'boiling water', 360, over='too watery', under='too dry')
sourcream = Ingredient('scrm', 'sour cream', 473, over='too tangy', under='too bland')
","ingredients = [strawberries, pineapple, bananas, pecans, jello, water, sourcream]","t1 = Transformation('boil', 'Boil water.', [water], 'boiling_water')
t2 = Transformation('mix', 'Mix Jell-O in boiling water.', [jello, t1.execute()], 'jello_solution')
t3 = Transformation('mix', 'Add strawberries, pineapple, crushed bananas and nuts.', [strawberries, pineapple, bananas, pecans, t2.execute()], 'fruit_jello_mixture')
t4 = Transformation('mix', 'Spread 1/2 mixture in 13 x 6 1/2-inch pan.', [t3.execute()], 'pan_half_mixture')
t5 = Transformation('chill', 'Allow to gel in freezer 30 minutes.', [t4.execute()], 'set_bottom_layer')
t6 = Transformation('mix', 'Add layer of sour cream.', [sourcream, t5.execute()], 'bottom_with_sourcream')
t7 = Transformation('mix', 'Add remaining mixture on top.', [t3.execute(), t6.execute()], 'assembled_dessert')
t8 = Transformation('chill', 'Gel and serve.', [t7.execute()], 'gelled_dessert')"
"Grandma Hanrath'S Banana Breadfort Collins, Colorado  ","[""1 c. sugar"", ""1/2 c. shortening"", ""2 eggs (add one at a time)"", ""1 tsp. salt"", ""2 tsp. soda"", ""2 c. flour"", ""1/4 c. nuts"", ""2 over-ripe bananas (chopped)""]","[""Cream sugar and shortening."", ""Add eggs, salt and soda, then bananas and flour."", ""Add nuts."", ""Mix well."", ""Bake in loaf pan at 350\u00b0 for 1 hour.""]","sugar = Ingredient('sug1', 'sugar', 200, over='too sweet', under='too bland')
shortening = Ingredient('shr1', 'shortening', 96, over='too greasy', under='too dry')
eggs = Ingredient('egg1', 'eggs (add one at a time)', 100, over='too eggy', under='too crumbly')
salt = Ingredient('slt1', 'salt', 6, over='too salty', under='too tasteless')
soda = Ingredient('sod1', 'baking soda', 9, over='too soapy', under='too flat')
flour = Ingredient('flr1', 'flour', 240, over='too tough', under='too wet')
nuts = Ingredient('nut1', 'nuts', 30, over='too nutty', under='too sparse')
bananas = Ingredient('ban1', 'over-ripe bananas (chopped)', 236, over='too mushy', under='too firm')

","ingredients = [sugar, shortening, eggs, salt, soda, flour, nuts, bananas]","t1 = Transformation('mix', 'Cream sugar and shortening.', [sugar, shortening], 'creamed_base')
t2 = Transformation('mix', 'Add eggs, salt and soda, then bananas and flour.', [t1.execute(), eggs, salt, soda, bananas, flour], 'banana_batter')
t3 = Transformation('mix', 'Add nuts.', [t2.execute(), nuts], 'batter_with_nuts')
t4 = Transformation('mix', 'Mix well.', [t3.execute()], 'well_mixed_batter')
t5 = Transformation('bake', 'Bake in loaf pan at 350° for 1 hour.', [t4.execute()], 'baked_banana_bread')"
Jewell Ball'S Chicken,"[""1 small jar chipped beef, cut up"", ""4 boned chicken breasts"", ""1 can cream of mushroom soup"", ""1 carton sour cream""]","[""Place chipped beef on bottom of baking dish."", ""Place chicken on top of beef."", ""Mix soup and cream together; pour over chicken. Bake, uncovered, at 275\u00b0 for 3 hours.""]","chippedbeef = Ingredient('CBF1', 'chipped beef, cut up', 100, over='too salty', under='too bland')
chickenbreasts = Ingredient('CHK2', 'boned chicken breasts', 800, over='too heavy', under='too scant')
creamofmushroom = Ingredient('CRM1', 'cream of mushroom soup', 300, over='too soupy', under='too dry')
sourcream = Ingredient('SRC4', 'sour cream', 227, over='too tangy', under='too bland')

","ingredients = [chippedbeef, chickenbreasts, creamofmushroom, sourcream]","t1 = Transformation('mix', 'Place chipped beef on bottom of baking dish.', [chippedbeef], 'beeflayer')
t2 = Transformation('mix', 'Place chicken on top of beef.', [chickenbreasts, t1.execute()], 'chickenonbeef')
t3 = Transformation('mix', 'Mix soup and cream together.', [creamofmushroom, sourcream], 'sauce')
t4 = Transformation('mix', 'Pour sauce over chicken.', [t2.execute(), t3.execute()], 'assembledcasserole')
t5 = Transformation('bake', 'Bake, uncovered, at 275° for 3 hours.', [t4.execute()], 'bakedcasserole')"
